pago_id,monto,fecha,id_usuario,id_videojuego
4643,9100,2020-05-12,106,15
5081,9100,2021-06-20,82,15
5109,9100,2021-01-05,83,15
3961,9100,2021-03-03,125,15
4024,9100,2020-10-16,89,15
4812,9100,2021-02-23,150,15
4403,9100,2020-09-01,110,15
3656,9100,2021-04-13,9,15
6225,9100,2021-08-14,135,15
3688,9100,2020-02-23,97,15
4441,9100,2020-04-24,11,15
5403,9100,2020-05-05,84,15
4272,9100,2021-03-29,79,15
4253,13000,2021-09-08,143,15
4550,13000,2020-03-31,117,15
3737,13000,2020-05-27,108,15
3760,13000,2021-04-11,116,15
5944,13000,2020-10-29,46,15
5573,13000,2020-10-01,36,15
5554,14300,2021-06-28,38,15
5422,14300,2020-06-26,136,15
3982,14300,2020-07-16,77,15
5024,14300,2021-08-04,121,15
5245,14300,2020-10-18,88,15
4172,14300,2020-07-18,112,15
4895,14300,2021-08-09,47,15
4350,32000,2021-09-13,148,16
3523,32000,2020-05-14,22,16
4945,32000,2021-02-14,128,16
6294,32000,2021-02-16,94,16
4918,32000,2020-01-05,47,16
4021,32000,2021-11-09,89,16
3482,32000,2020-09-04,102,16
4109,52000,2020-05-22,40,16
5838,52000,2021-05-22,45,16
5478,52000,2021-04-07,19,16
4260,52000,2020-05-29,79,16
5996,52000,2020-12-25,98,16
4508,52000,2020-10-06,74,16
4786,52000,2020-02-02,64,16
5331,52000,2020-09-19,32,16
4806,52000,2020-11-29,150,16
4405,52000,2021-09-10,110,16
3546,52000,2020-02-19,145,16
5734,52000,2020-02-14,80,16
6223,52000,2021-05-23,135,16
4305,52000,2020-05-21,105,16
5265,52000,2020-07-26,88,16
5079,52000,2020-09-24,82,16
4446,52000,2021-01-08,11,16
5639,52000,2020-07-13,131,16
3584,52000,2021-12-04,104,16
3774,52000,2020-02-01,116,16
4663,52000,2021-03-19,142,16
5132,40000,2021-07-29,28,16
3743,40000,2021-08-13,108,16
4128,40000,2021-01-19,54,16
3650,40000,2020-05-11,9,16
4848,40000,2020-10-05,141,16
6329,40000,2021-03-14,76,16
4959,40000,2020-06-13,111,16
5028,40000,2021-03-04,121,16
4877,40000,2020-11-26,103,16
4035,40000,2020-06-13,96,16
4607,40000,2021-07-18,120,16
3497,43120,2020-09-07,102,21
3904,39200,2020-02-09,127,21
6198,43120,2020-06-17,135,21
5038,43120,2021-04-08,121,21
4650,43120,2021-06-29,142,21
4483,39200,2020-11-30,11,21
5165,43120,2021-01-13,28,21
6126,43120,2021-01-13,140,21
4863,43120,2020-04-15,141,21
3928,70070,2021-02-09,99,21
4110,63700,2020-04-01,40,21
4624,70070,2021-03-06,120,21
5106,63700,2020-06-21,83,21
5077,70070,2021-04-29,82,21
4259,70070,2020-03-17,79,21
5515,63700,2021-08-04,38,21
5259,63700,2020-09-11,88,21
6069,70070,2020-06-21,113,21
3588,63700,2021-03-09,115,21
3693,34300,2021-09-30,97,21
4229,37730,2020-02-18,143,21
4300,37730,2020-04-15,105,21
4484,34300,2020-02-20,74,21
4927,49000,2020-01-08,47,21
3768,53900,2020-07-21,116,21
6325,49000,2020-02-27,76,21
5759,53900,2021-10-13,80,21
5627,53900,2020-12-29,131,21
4545,49000,2020-09-03,117,21
4201,53900,2020-04-08,93,21
3542,63700,2021-06-05,22,21
4749,70070,2021-08-26,124,21
5411,63700,2021-05-02,136,21
5858,18000,2020-12-30,45,37
4947,18000,2021-05-31,128,37
3906,18000,2020-01-27,127,37
5700,18000,2021-06-01,139,37
4016,18000,2021-02-09,89,37
5725,12600,2020-06-27,80,37
5262,12600,2021-04-15,88,37
6164,12600,2021-11-19,129,37
4124,12600,2020-12-12,54,37
4702,12600,2021-08-28,133,37
3646,12600,2021-01-05,9,37
5138,12600,2021-02-15,28,37
4820,12600,2020-02-24,150,37
5642,14400,2020-09-15,131,37
6228,14400,2020-08-28,135,37
4973,14400,2021-07-02,111,37
4404,14400,2021-04-18,110,37
5047,14400,2020-06-24,121,37
4743,14400,2021-03-14,124,37
4224,14400,2020-10-07,143,37
4095,14400,2020-11-30,137,37
5580,18000,2021-04-15,36,37
5498,18000,2021-08-14,91,37
5988,18000,2021-03-24,98,37
4556,18000,2020-10-06,117,37
5526,18000,2020-06-16,38,37
4859,18000,2020-03-01,141,37
4285,18000,2020-01-19,79,37
4168,14400,2021-09-27,112,37
3543,14400,2020-12-27,22,37
5168,14400,2020-02-25,85,37
4581,14400,2020-09-09,126,37
4654,7000,2021-07-25,142,38
4022,7000,2020-04-23,89,38
5696,7000,2020-10-07,139,38
4070,7000,2020-03-16,137,38
3907,7000,2020-11-11,127,38
3610,7000,2020-07-18,115,38
4105,7000,2020-04-10,40,38
4434,7000,2021-03-31,81,38
3927,12000,2020-11-08,99,38
3826,12000,2021-02-07,101,38
6343,12000,2020-05-05,100,38
5428,12000,2021-02-05,136,38
5925,12000,2021-07-27,46,38
4504,12000,2021-02-11,74,38
5843,12000,2021-07-23,45,38
5514,12000,2020-06-22,38,38
5567,10000,2021-10-28,36,38
6052,10000,2021-10-14,113,38
5834,10000,2020-08-01,147,38
3811,10000,2021-01-23,107,38
4933,10000,2020-01-31,47,38
5243,9000,2021-09-08,88,38
6176,9000,2021-10-04,130,38
5070,9000,2021-01-06,82,38
3873,9000,2020-10-06,146,38
5023,9000,2021-03-09,121,38
4043,9000,2021-01-20,96,38
6207,9000,2020-06-22,135,38
5841,19000,2021-08-23,45,39
6339,19000,2021-07-16,76,39
3710,19000,2021-08-21,97,39
5197,19000,2021-03-17,85,39
4114,19000,2020-10-04,54,39
4376,19000,2020-11-04,23,39
5995,19000,2020-12-20,98,39
4818,19000,2021-08-17,150,39
4418,19000,2020-04-22,110,39
3817,19000,2021-03-28,101,39
5656,19000,2021-08-30,86,39
4505,19000,2020-09-16,74,39
5094,19000,2020-03-05,83,39
4049,19000,2020-03-19,96,39
6102,19000,2021-09-03,140,39
5923,19000,2021-05-09,46,39
5524,19000,2020-08-23,38,39
6154,19000,2021-08-01,129,39
5895,19000,2020-07-04,69,39
